uid,domainID,siteID,namedLocation,eventID,samplingImpractical,replicateNumber,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingProtocolVersion,measurementLocation,measurementDirection,totalDensiometerPoints,coveredDensiometerPoints,canopyCoverPercent,remarks,collectedBy,recordedBy,dataQF
"27fc733d-3468-424c-826c-33ff8067331c","D17","BIGC","BIGC.AOS.riparian.transect.10","BIGC.10.20190715.C",,1,37.062682,-119.259594,"WGS84",0.4,1139.5,0.3,"2019-07-15T18:13Z","NEON.DOC.003826vC","Center","downstream",17,12,70.6,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"a2f42ebc-2fa9-4476-aa3b-643a4c547ab2","D17","BIGC","BIGC.AOS.riparian.transect.07","BIGC.07.20190715.C",,1,37.060952,-119.258135,"WGS84",0.4,1150.8,0.3,"2019-07-15T18:13Z","NEON.DOC.003826vC","Center","river Right",17,16,94.1,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"61a3b932-89ee-4eaa-bc03-968f98259a5c","D17","BIGC","BIGC.AOS.riparian.transect.01","BIGC.01.20190715.C",,1,37.057635,-119.255467,"WGS84",0.4,1132.2,0.3,"2019-07-15T18:13Z","NEON.DOC.003826vC","Center","downstream",17,15,88.2,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"a2658f2b-9e3b-41c9-8cd9-752af0973c9c","D17","BIGC","BIGC.AOS.riparian.transect.08","BIGC.08.20190715.C",,1,37.061671,-119.258119,"WGS84",0.7,1133.1,0.5,"2019-07-15T18:13Z","NEON.DOC.003826vC","Center","river Right",17,15,88.2,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"f9e88847-989b-4caa-bf3f-540ecccf3488","D17","BIGC","BIGC.AOS.riparian.transect.05","BIGC.05.20190715.C",,1,37.059846,-119.257886,"WGS84",0.3,1133.1,0.2,"2019-07-15T18:13Z","NEON.DOC.003826vC","Center","upstream",17,7,41.2,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"35e61ef1-f1be-41ba-9a3e-6fb3cd60f3b4","D17","BIGC","BIGC.AOS.riparian.transect.08","BIGC.08.20190715.C",,1,37.061671,-119.258119,"WGS84",0.7,1133.1,0.5,"2019-07-15T18:13Z","NEON.DOC.003826vC","Center","upstream",17,16,94.1,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"4e1bd915-5b0f-4588-823a-573bded9f14c","D17","BIGC","BIGC.AOS.riparian.transect.06","BIGC.06.20190715.C",,1,37.060366,-119.257965,"WGS84",0.3,1135.0,0.2,"2019-07-15T18:13Z","NEON.DOC.003826vC","Center","river Left",17,14,82.4,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"a2b77e8f-2eae-4cd1-9f16-430f77078997","D17","BIGC","BIGC.AOS.riparian.transect.01","BIGC.01.20190715.C",,1,37.057635,-119.255467,"WGS84",0.4,1132.2,0.3,"2019-07-15T18:13Z","NEON.DOC.003826vC","Center","river Right",17,15,88.2,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"f35fbb11-70c3-4bc8-a87d-8794beb24755","D17","BIGC","BIGC.AOS.riparian.transect.09","BIGC.09.20190715.C",,1,37.062020,-119.258550,"WGS84",0.6,1134.5,0.3,"2019-07-15T18:13Z","NEON.DOC.003826vC","Center","downstream",17,12,70.6,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"d9cef9b3-784c-44b8-9b7f-1bbfdb6d549b","D17","BIGC","BIGC.AOS.riparian.transect.10","BIGC.10.20190715.C",,1,37.062682,-119.259594,"WGS84",0.4,1139.5,0.3,"2019-07-15T18:13Z","NEON.DOC.003826vC","Center","upstream",17,14,82.4,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"77f56fc5-149a-42fc-85e8-ec41e7ed576b","D17","BIGC","BIGC.AOS.riparian.transect.02","BIGC.02.20190715.L",,1,37.058165,-119.256196,"WGS84",0.6,1133.8,0.5,"2019-07-15T18:13Z","NEON.DOC.003826vC","Left Bank","river Left",17,14,82.4,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"8f64f260-e92f-4800-a5d9-dab3a5575ab8","D17","BIGC","BIGC.AOS.riparian.transect.09","BIGC.09.20190715.R",,1,37.062020,-119.258550,"WGS84",0.6,1134.5,0.3,"2019-07-15T18:13Z","NEON.DOC.003826vC","Right Bank","river Right",17,17,100.0,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"ce558868-17a9-43e5-b7af-248fbc595b6f","D17","BIGC","BIGC.AOS.riparian.transect.09","BIGC.09.20190715.C",,1,37.062020,-119.258550,"WGS84",0.6,1134.5,0.3,"2019-07-15T18:13Z","NEON.DOC.003826vC","Center","river Left",17,17,100.0,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"0931f7aa-ad94-46d7-ab38-4b6e0506cbe4","D17","BIGC","BIGC.AOS.riparian.transect.06","BIGC.06.20190715.C",,1,37.060366,-119.257965,"WGS84",0.3,1135.0,0.2,"2019-07-15T18:13Z","NEON.DOC.003826vC","Center","river Right",17,15,88.2,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
